epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,134664,0.40788,0.271,0.92827,0.98406,0.97299,0.99021,0.94368,0.33668,0.17174,0.83491,0.000152489,0.000152489,0.000152489
72,136547,0.40878,0.27252,0.92906,0.98318,0.97357,0.99023,0.94389,0.33642,0.17182,0.83508,0.000140674,0.000140674,0.000140674
73,138433,0.40642,0.2692,0.92703,0.9839,0.97357,0.99028,0.94403,0.33628,0.17118,0.83525,0.000129261,0.000129261,0.000129261
74,140318,0.40543,0.26769,0.92542,0.98457,0.97352,0.99035,0.94443,0.33607,0.17097,0.83524,0.000118262,0.000118262,0.000118262
75,142204,0.40387,0.26614,0.9248,0.98559,0.9723,0.99033,0.94446,0.33607,0.17062,0.83528,0.00010769,0.00010769,0.00010769
76,144091,0.4002,0.26409,0.92171,0.98597,0.97261,0.99039,0.94454,0.33584,0.17024,0.83521,9.75552e-05,9.75552e-05,9.75552e-05
77,145979,0.3988,0.26342,0.92169,0.98608,0.97309,0.99052,0.94471,0.3356,0.16955,0.83506,8.78704e-05,8.78704e-05,8.78704e-05
78,147871,0.39477,0.26283,0.91851,0.98657,0.97299,0.99052,0.94488,0.33569,0.16939,0.83506,7.8646e-05,7.8646e-05,7.8646e-05
79,149761,0.39407,0.25945,0.91859,0.98622,0.97362,0.99054,0.94508,0.33551,0.16927,0.83494,6.98922e-05,6.98922e-05,6.98922e-05
80,151649,0.39494,0.25991,0.91903,0.98604,0.9737,0.99053,0.94514,0.33563,0.1693,0.83491,6.16189e-05,6.16189e-05,6.16189e-05
81,153538,0.39153,0.25811,0.91822,0.98617,0.97379,0.99049,0.94515,0.33572,0.16928,0.83486,5.38352e-05,5.38352e-05,5.38352e-05
82,155426,0.38906,0.25755,0.91797,0.98616,0.97313,0.99044,0.94494,0.336,0.16977,0.83501,4.65499e-05,4.65499e-05,4.65499e-05
83,157312,0.38865,0.2559,0.91524,0.98589,0.97313,0.9905,0.945,0.33609,0.16982,0.83484,3.97711e-05,3.97711e-05,3.97711e-05
84,159199,0.38701,0.25566,0.91637,0.98585,0.97319,0.99043,0.94504,0.33625,0.16998,0.83474,3.35064e-05,3.35064e-05,3.35064e-05
85,161095,0.2766,0.14005,0.82938,0.98643,0.97253,0.99046,0.94494,0.33659,0.17016,0.83474,2.77627e-05,2.77627e-05,2.77627e-05
86,162988,0.26821,0.13364,0.82518,0.98726,0.97238,0.99056,0.94485,0.33702,0.16968,0.83478,2.25465e-05,2.25465e-05,2.25465e-05
87,164878,0.26555,0.13193,0.82279,0.98725,0.97256,0.99071,0.94488,0.33737,0.16949,0.83474,1.78636e-05,1.78636e-05,1.78636e-05
88,166768,0.26401,0.1305,0.82173,0.98795,0.97192,0.99079,0.94474,0.33745,0.16923,0.83451,1.37193e-05,1.37193e-05,1.37193e-05
89,168659,0.26342,0.13045,0.82239,0.98855,0.97176,0.99088,0.94472,0.3375,0.16896,0.83411,1.01181e-05,1.01181e-05,1.01181e-05
90,170550,0.26277,0.12949,0.82189,0.9879,0.97255,0.99095,0.94479,0.33761,0.16851,0.83396,7.06418e-06,7.06418e-06,7.06418e-06
91,172464,0.2618,0.12924,0.82169,0.9886,0.97245,0.9911,0.94485,0.33762,0.16822,0.83375,4.56081e-06,4.56081e-06,4.56081e-06
